Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Sep 3, 2021",@ Arizona,REG,W,6-5,-115,O,8.5,SEA,2021,20210903,134,0.5348837209302326,0
"Sep 4, 2021",@ Arizona,REG,W,8-5,-127,O,8.5,SEA,2021,20210904,135,0.5594713656387665,0
"Sep 5, 2021",@ Arizona,REG,W,10-4,-123,O,9.0,SEA,2021,20210905,136,0.5515695067264574,0
"Sep 6, 2021",@ Houston,REG,L,11-2,195,O,8.5,SEA,2021,20210906,137,0.3389830508474576,0
"Sep 7, 2021",@ Houston,REG,L,5-4,153,O,8.5,SEA,2021,20210907,138,0.3952569169960474,0
"Sep 8, 2021",@ Houston,REG,W,8-5,160,O,8.5,SEA,2021,20210908,139,0.38461538461538464,0
"Sep 10, 2021",vs Arizona,REG,W,5-4,-150,O,8.0,SEA,2021,20210910,140,0.6,0
"Sep 11, 2021",vs Arizona,REG,L,7-3,-170,O,8.5,SEA,2021,20210911,141,0.6296296296296297,0
"Sep 12, 2021",vs Arizona,REG,L,5-4,-170,O,8.0,SEA,2021,20210912,142,0.6296296296296297,0
"Sep 13, 2021",vs Boston,REG,W,5-4,114,O,8.0,SEA,2021,20210913,143,0.4672897196261682,0
"Sep 14, 2021",vs Boston,REG,L,8-4,127,O,8.0,SEA,2021,20210914,144,0.44052863436123346,0
"Sep 15, 2021",vs Boston,REG,L,9-4,118,O,8.5,SEA,2021,20210915,145,0.45871559633027525,0
"Sep 17, 2021",@ Kansas City,REG,W,6-2,-110,U,9.0,SEA,2021,20210917,146,0.5238095238095238,0
"Sep 18, 2021",@ Kansas City,REG,L,8-1,103,P,9.0,SEA,2021,20210918,147,0.49261083743842365,0
"Sep 19, 2021",@ Kansas City,REG,W,7-1,-115,U,9.0,SEA,2021,20210919,148,0.5348837209302326,0
"Sep 20, 2021",@ Oakland,REG,W,4-2,160,U,8.0,SEA,2021,20210920,149,0.38461538461538464,0
"Sep 21, 2021",@ Oakland,REG,W,5-2,124,U,8.5,SEA,2021,20210921,150,0.44642857142857145,0
"Sep 22, 2021",@ Oakland,REG,W,4-1,138,U,8.5,SEA,2021,20210922,151,0.42016806722689076,0
"Sep 23, 2021",@ Oakland,REG,W,6-5,155,O,8.5,SEA,2021,20210923,152,0.39215686274509803,0
"Sep 24, 2021",@ LA Angels,REG,W,6-5,-126,O,8.5,SEA,2021,20210924,153,0.5575221238938053,0
"Sep 25, 2021",@ LA Angels,REG,L,14-1,-133,O,8.5,SEA,2021,20210925,154,0.5708154506437768,0
"Sep 26, 2021",@ LA Angels,REG,W,5-1,120,U,8.5,SEA,2021,20210926,155,0.45454545454545453,0
"Sep 27, 2021",vs Oakland,REG,W,13-4,-120,O,8.5,SEA,2021,20210927,156,0.5454545454545454,0
"Sep 28, 2021",vs Oakland,REG,W,4-2,-102,U,8.0,SEA,2021,20210928,157,0.504950495049505,0
"Sep 29, 2021",vs Oakland,REG,W,4-2,-113,U,7.5,SEA,2021,20210929,158,0.5305164319248826,0
"Oct 1, 2021",vs LA Angels,REG,L,2-1,-155,U,7.5,SEA,2021,20211001,159,0.607843137254902,0
"Oct 2, 2021",vs LA Angels,REG,W,6-4,-179,O,8.0,SEA,2021,20211002,160,0.6415770609318996,0
"Oct 3, 2021",vs LA Angels,REG,L,7-3,-159,O,7.5,SEA,2021,20211003,161,0.6138996138996139,0
